Sample 0,,Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 6,,Sample 7,,Sample 8,,Sample 9,,Sample 10,,blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
732,0.0495488968025925,732,0.0842997891482614,732,0.118207698826146,732,0.14811268998819,732,0.161515718451384,732,0.157901614440472,732,0.138172575955934,732,0.125712968085417,732,0.101401196666906,732,0.0854885169506697,732,0.0790329861761198,732,0.0494818497433944
731,0.0490428907451253,731,0.0843944080730757,731,0.118712856039736,731,0.149266372650475,731,0.162595873144648,731,0.159074463196975,731,0.139431494536198,731,0.125879899527556,731,0.101685660619079,731,0.0851625898648182,731,0.0783260603262407,731,0.0488771823367992
730,0.0485720375207042,730,0.0843603303109831,730,0.119314499479084,730,0.150803317995987,730,0.164441371000706,730,0.160416333337074,730,0.139814893944131,730,0.127362685701157,730,0.101872995751303,730,0.0851772977841668,730,0.078219085412139,730,0.048141400265984
729,0.0479419813604714,729,0.0844824441886918,729,0.120232101770731,729,0.152012226306988,729,0.165559949660052,729,0.161592321949534,729,0.141266549107628,729,0.12710512608129,729,0.102196613212529,729,0.0848552547866598,729,0.0777844512721721,729,0.0476350373150009
728,0.0473152626337512,728,0.0846521527110307,728,0.120826418663538,728,0.153739432712502,728,0.16715191867646,728,0.162978209705172,728,0.141548785054212,728,0.128203601628236,728,0.102926685277856,728,0.0849259773679263,728,0.0771102201465391,728,0.0473528471923682
727,0.0471124141372372,727,0.0846390982743057,727,0.121659419973687,727,0.1550330811132,727,0.168320033984533,727,0.164624518710145,727,0.142736269335006,727,0.128666530577026,727,0.103050654831504,727,0.0848406207106654,727,0.0768425754153882,727,0.0468029994835041
726,0.0468416065937062,726,0.0856036344265913,726,0.123164448597202,726,0.156318091338401,726,0.170463078280293,726,0.166106679275577,726,0.144703653375428,726,0.130077389307929,726,0.103779798320641,726,0.0852426548418356,726,0.0768361490248794,726,0.046596960719842
725,0.046804210408686,725,0.0859190398597846,725,0.123750885052444,725,0.157778044881695,725,0.173088022602546,725,0.167974924870607,725,0.145777758619759,725,0.131126488264974,725,0.104421368414196,725,0.0855707856390494,725,0.0765324251740293,725,0.0465269966481744
724,0.0464582538067304,724,0.0861946117790399,724,0.124893145182564,724,0.159404460522867,724,0.174383145851803,724,0.169470419273131,724,0.147215218514302,724,0.132121032148647,724,0.105459485530384,724,0.0854223665779866,724,0.0767762151541154,724,0.0462379524484842
723,0.046130823097944,723,0.0866171455917692,723,0.126617593405009,723,0.161498709801892,723,0.176594605597285,723,0.171758804682173,723,0.148226074152751,723,0.133280483851092,723,0.10565231875627,723,0.0854394783571735,723,0.0763513543989317,723,0.046093459279864
