s.1,,Sample 6,,Sample 10,,Blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
652,0.0319712084671659,652,0.0326658713122163,652,0.26567239489987,652,0.0322201565616017
651,0.0320369712992387,651,0.0324723996403569,651,0.260842716971968,651,0.0319451847405392
650,0.0319563853396534,650,0.0326247646248513,650,0.256162189787658,650,0.0319705954706612
649,0.03197210009999,649,0.0327385500883519,649,0.251572499523874,649,0.0323224583989159
648,0.0319996022989237,648,0.0326569129041773,648,0.24718742227078,648,0.0319909084064459
647,0.0319352103208121,647,0.0326447733003075,647,0.242431336701332,647,0.0319701775189951
646,0.0319409219018426,646,0.0325673947892886,646,0.238262803323699,646,0.0320056212495151
645,0.0319225058050591,645,0.0326265784835143,645,0.233797533711142,645,0.0322743297577112
644,0.0318995494647256,644,0.0326924406371221,644,0.229510299059069,644,0.0320483136080397
643,0.0318090174763417,643,0.0326016595189106,643,0.22530189289792,643,0.0321688056069267
642,0.0318969028772874,642,0.0326254064508968,642,0.221389671717774,642,0.0320181331313323
641,0.0318229442462534,641,0.0325565969371472,641,0.217079680997453,641,0.0319543235161332
640,0.0317364662288537,640,0.0326365967009069,640,0.213115285236221,640,0.0320177151339149
639,0.0319943079206037,639,0.0326426802994535,639,0.209175981705374,639,0.0319488625173504
638,0.0318767893398122,638,0.032690654413054,638,0.205241359678904,638,0.0318271780728273
637,0.0319674747745975,637,0.032575263160716,637,0.201471223530894,637,0.0318560360428377
636,0.031904313362758,636,0.0326592571426356,636,0.197687214459369,636,0.0318408547288379
635,0.0319255147357293,635,0.0326138258224425,635,0.194094918435855,635,0.0320271619737471
634,0.0318488492262096,634,0.0322686416728311,634,0.190147423998584,634,0.031702492460187
633,0.0314429871510873,633,0.0322162813320389,633,0.186378320118796,633,0.0317184208142478
632,0.0317147171413349,632,0.0324456206216604,632,0.182994944709371,632,0.0317300889827767
631,0.0319074893238113,631,0.0325943487389824,631,0.179838596139314,631,0.0317507527138664
630,0.0319787316765574,630,0.0324711722325599,630,0.176379530249593,630,0.03162622824465
629,0.0320017479337794,629,0.0326346990820997,629,0.173115633420059,629,0.0319073500267869
628,0.0318689336127653,628,0.0327266314983276,628,0.169895337093774,628,0.0317924730540963
627,0.0317112084277103,627,0.0322694502685902,627,0.166445597345293,627,0.0315993343113781
626,0.0314490540523864,626,0.0320565070080122,626,0.163191535041128,626,0.0313875540698081
625,0.0314771354472459,625,0.0322897214197446,625,0.160181681957204,625,0.0315516476114319
624,0.0317251320614261,624,0.032605035913016,624,0.15714741627152,624,0.0318665379228628
623,0.0316846990631637,623,0.0325266322111202,623,0.154357298489528,623,0.03181475525145
622,0.0317523958290213,622,0.0324338495337983,622,0.151409864342637,622,0.0316451607907312
621,0.0318476792905727,621,0.0325328258676647,621,0.148426990466422,621,0.0315379800598596
620,0.0318092124480381,620,0.0323506521022842,620,0.145502822071044,620,0.0318154237350337
619,0.0317810538710262,619,0.0325634885585545,619,0.142859264570093,619,0.0315231160419331
618,0.0317886016388775,618,0.032393768861968,618,0.14015927433141,618,0.0315392883404778
617,0.0318794915199043,617,0.0326775091462793,617,0.137256935549718,617,0.0317120159862713
616,0.0320154022221436,616,0.0326820583124771,616,0.13491199966122,616,0.0316406503151554
615,0.0320336550536146,615,0.0326708389826129,615,0.132792439792474,615,0.0319707905149098
614,0.0320418481770408,614,0.0328848655698539,614,0.130069880404653,614,0.0317514210989421
613,0.0321880684727589,613,0.0329432826935105,613,0.127484318867871,613,0.0319923573764396
612,0.0326828397691352,612,0.0330699173362952,612,0.125569465949984,612,0.0321947033479589
611,0.0325214429993178,611,0.0331819194938602,611,0.123268476489785,611,0.0323625324898002
610,0.0321734609535177,610,0.0328013025328402,610,0.120927596732694,610,0.031823167078202
609,0.031536783125725,609,0.0322673033107448,609,0.118170012411948,609,0.0313977107063692
608,0.0318322475773655,608,0.0325479476885162,608,0.116260042377003,608,0.0314793341663072
607,0.0324241985955183,607,0.0330727107530224,607,0.114333206836803,607,0.032003670654539
606,0.0325118180125541,606,0.0333842615077342,606,0.112247850414973,606,0.032406068800006
605,0.0323453813302103,605,0.0329163070796333,605,0.10994016337981,605,0.0319776728466147
604,0.0317884623799803,604,0.0324212698849884,604,0.107672535151339,604,0.0313443423233622
603,0.03181475525145,603,0.0323946334720798,603,0.105801342880254,603,0.0312733986836586
602,0.0319664716984822,602,0.0327630581935237,602,0.103828256369782,602,0.0314913299055729
601,0.032305225167014,601,0.0328556041138071,601,0.102285941874751,601,0.0315791231967694
600,0.032110185961997,600,0.0330442746102566,600,0.100553880797859,600,0.0318220807735326
599,0.0326246530030271,599,0.0333885944464001,599,0.0990799059047739,599,0.0322592174608726
598,0.0326623828135969,598,0.0334248250964779,598,0.0972798155633008,598,0.0322066352273182
597,0.0318942284474178,597,0.0326118445892318,597,0.0950311635746917,597,0.0314658915389742
596,0.031534389267352,596,0.0322686137902456,596,0.0930357395283481,596,0.0311817177186768
595,0.0318008287441328,595,0.0324566946614535,595,0.0915667229038206,595,0.0312728979462139
594,0.0316992623057866,594,0.032400630008932,594,0.0900742136407337,594,0.0311003726312373
593,0.0318930583895287,593,0.0325881821080866,593,0.0884253047131177,593,0.0311399447655081
592,0.0320604365505986,592,0.032939401006114,592,0.0872134283741472,592,0.0313062538854695
591,0.0319695923873381,591,0.032590414362553,591,0.0854069886113289,591,0.0312790459292569
590,0.0317308687283638,590,0.0323474728987746,590,0.0838755777346885,590,0.0309450110966443
589,0.0314621900190013,589,0.0322376931046479,589,0.0823594984821473,589,0.0308553726492873
588,0.0316760950059064,588,0.0323490903853712,588,0.0808710518471097,588,0.0307677533151656
587,0.0316686327253458,587,0.0323285654850054,587,0.0798052664160291,587,0.0307082111575121
586,0.0315615297139972,586,0.0324407671012812,586,0.0782129795545041,586,0.0306740121439179
585,0.0315064155051048,585,0.0320851572544587,585,0.0768894476876335,585,0.0305364376365264
584,0.0313421164644553,584,0.0320930168936718,584,0.0755894376842075,584,0.0306038723089694
583,0.0314543974484947,583,0.0322837821811741,583,0.0743460799499463,583,0.0304336115869894
582,0.0316064334798019,582,0.032248120574056,582,0.0733417399238562,582,0.0305373541001913
581,0.0317117932113459,581,0.0323005962924291,581,0.0722808591636017,581,0.0306882081581355
580,0.0317137146488353,580,0.0325463015607077,580,0.0711948102841341,580,0.0304230610066643
579,0.0320009398362907,579,0.0326251553014616,579,0.0702664940517811,579,0.0306369546771153
578,0.0320553365128379,578,0.0327272455628895,578,0.0693511813178687,578,0.0308356963596173
577,0.032134630757983,577,0.032753316195671,577,0.0682861780932228,577,0.0310201270750804
