Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 0,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
665,0.0995679079573813,665,0.1658913865729,665,0.214266097369217,665,0.285604974939213,665,0.340623334098456,665,0.0423247615102477
664,0.100574275084106,664,0.167638429330844,664,0.216926003257953,664,0.289116914497249,664,0.344807370224928,664,0.0422682358831281
663,0.101424507983224,663,0.169659985476445,663,0.219706868002103,663,0.292650375557975,663,0.34950133062044,663,0.0425018904445005
662,0.102189178174944,662,0.171232178686529,662,0.22239967619796,662,0.296104800800061,662,0.353688560806375,662,0.0424230782708147
661,0.103326809509349,661,0.173370113484858,661,0.225319810194517,661,0.299925604269149,661,0.358452440312385,661,0.0426083852400031
660,0.103924695426391,660,0.175167556448392,660,0.227589313779818,660,0.303409234733456,660,0.362486815332034,660,0.042408978651314
659,0.104098589733899,659,0.17594760275051,659,0.229521408719643,659,0.305931935909418,659,0.365985385827348,659,0.0419432920744142
658,0.105033258972422,658,0.177905000997689,658,0.232097506138712,658,0.309550567085081,658,0.370246364172611,658,0.0418049802398338
657,0.106152228609913,657,0.179957401167853,657,0.235254771438015,657,0.313475010768044,657,0.374923202999181,657,0.0419623376320389
656,0.106901468802066,656,0.182024860683051,656,0.238100415286288,656,0.317295420525615,656,0.37971101952654,656,0.0419217955471934
655,0.108064408741013,655,0.18375840281369,655,0.240896439684151,655,0.321425404399669,655,0.384405176862942,655,0.0420308001935106
654,0.108989894839709,654,0.185732110143084,654,0.243568050639037,654,0.32518530697414,654,0.3892673640226,654,0.0420770563126895
653,0.109885584330281,653,0.187653453818031,653,0.246427234987553,653,0.328852012058128,653,0.393526458843938,653,0.0421165575769381
652,0.110567464467831,652,0.189238966054603,652,0.249313502439599,652,0.332560237463759,652,0.398128590059731,652,0.042107573219236
651,0.111273594030294,651,0.191143440403981,651,0.252008795322209,651,0.336317300511342,651,0.402511953564722,651,0.0418837088225983
650,0.112164894761158,650,0.193064983954839,650,0.254816794010047,650,0.340138957651453,650,0.407512123696519,650,0.0418681729068105
649,0.113405989321863,649,0.195383649714684,649,0.258035423089645,649,0.344057390124893,649,0.412557850094153,649,0.0419029228155779
648,0.114213450226509,648,0.197396999112301,648,0.26088826370368,648,0.348075766655691,648,0.417263751567083,648,0.0419320875183113
647,0.115187851738,647,0.199045364652372,647,0.263754931863246,647,0.351892006475317,647,0.421959610042962,647,0.0419868871053502
646,0.116007527959228,646,0.201378034356101,646,0.266965060007394,646,0.355972537830753,646,0.426913457924903,646,0.0420726072979402
645,0.117247935750767,645,0.203256292120859,645,0.269755321070299,645,0.360064341067396,645,0.432110448346911,645,0.0420845284784754
644,0.118239542827007,644,0.205372555800708,644,0.272877354199417,644,0.364230811117078,644,0.437121822168376,644,0.0419720888246429
643,0.119279476384432,643,0.207555160675862,643,0.276011094463173,643,0.368438305446552,643,0.442194564804106,643,0.0420382715634817
